VD02
VB01
URXL, GCY-34, GCY-35, SRA-10, GCY-25, NPR-1, GCY-1, GCY-36, GCY-37, GCY-32
SIBDL
RMFR
RIMR
IL1R, MEC-6, DEG-3
DVA, GLR-1, SER-2, SER-4, GGR-3, GLR-4, GLR-5, NMR-1
DA05
AWAL, OSM-9, ODR-10, OCR-2, OCR-1
AVAR, NMR-1, GLR-5, NMR-2, GLR-2, GLR-1, GGR-3, GLR-4, UNC-8
AIYL, LGC-38, ACR-14, NPR-11, NPR-14, GAR-2, C50F7.1, MOD-1, GCY-1, SER-2, MGL-1, GLC-3, CKR-2, SRA-11
ADAL
NSMR, SER-2, GLR-7, AEX-2, GLR-8
MCL, GLR-8
M3L, NPR-1, GLR-8
I6, GLR-8, GLR-7
I2R, GLR-7, GLR-8
NSML, GLR-7, AEX-2, GLR-8, SER-2
M5, GLR-8
M2R
I5
I2L, GLR-8, GLR-7
MI, GLR-2
M4, SER7b, GLR-8
M2L
I4
I1R, GLR-8, GLR-7
MCR, GLR-8
M3R, GLR-8, NPR-1
M1, GLR-2, AVR-14
I3, GLR-8, GLR-7
I1L, GLR-8, GLR-7
VA12
PHCL, DOP-1
LUAL, SER-2, GLR-5
VA11
PHBR, OCR-2, SRB-6, NPR-1, OSM-9
DVB
VA10
PVCR
PHBL, OSM-9, SRB-6, OCR-2, NPR-1
DA09
AVDR, UNC-8, GLR-5, GLR-1, NMR-2, GLR-2, NMR-1
PVWR
PVCL
PHAR, OSM-9, SRB-6, OCR-2, NPR-1, SRG-13, GCY-12
DA08
AVDL, GLR-5, NMR-1, UNC-8, GLR-1, NMR-2, GLR-2
PVWL
PQR, GCY-32, GCY-35, NPR-1
PHAL, OSM-9, OCR-2, GCY-12, NPR-1, SRG-13, SRB-6
DA07
AVBR, UNC-8, GLR-1, GGR-3, SRA-11, GLR-5
PLNR, DOP-1
PDER
AVJR, GLR-1
AVBL, GLR-5, GLR-1, GGR-3, UNC-8, SRA-11
PLNL, DOP-1
PDEL, DOP-2
AVJL, GLR-1
PVR
PLMR, MEC-9, GLR-8, MEC-2, MEC-4, DES-2, DOP-1, MEC-6, DEG-3
PDB, UNC-8
AVG, NMR-2, DEG-3, GLR-2, GLR-1, NMR-1
AVAL, GLR-2, UNC-8, GLR-5, GGR-3, NMR-1, NMR-2, GLR-4, GLR-1
PVNR
PLML, MEC-4, DES-2, MEC-2, DEG-3, MEC-9, GLR-8, MEC-6, DOP-1
PDA, UNC-8, EXP-1
AVFR
AS11
PVNL
PHCR, DOP-1
LUAR, GLR-5, SER-2
AVFL
AS10
VD01
URBR
SIAVR
RMFL
RIML
IL1L, MEC-6, DEG-3
DA04
AVM
AINR
URBL
SIAVL
RMEV, SER-2, AVR-15
RIH
PVQR, DOP-1, GLR-1, MGL-2, GLR-5, SRA-6, GGR-1
IL1DR, MEC-6, DEG-3
DA03
AVL
AUAR, DOP-1, SER-2, NPR-1, GLR-4
AINL
VC05
URAVR
SIADR
RMER, GLR-1, SER-2
RIGR
PVQL, SRA-6, GGR-1, GLR-1, GLR-5, DOP-1, MGL-2
IL1DL, MEC-6, DEG-3
DD04
DA02
AVKR, GLR-5
AUAL, SER-2, DOP-1, NPR-1, GLR-4
AS06
AIMR, GCY-18
VC04
URAVL
SIADL
RMEL, GLR-1, SER-2
RIGL
PVPR
DD03
DA01
AVKL, GLR-5
ASKR, SRA-7, DAF-11, SRA-9, OSM-9, SRG-8, SRG-2
AS05
AIML, GCY-18
VC03
VA08
URADR
SDQR
RMED, AVR-15, SER-2
RIFR
PVPL
DD02
CEPVR, DOP-2
ASKL, SRG-2, SRA-9, OSM-9, SRG-8, SRA-7, DAF-11
AS04
AIBR, GLR-5, GLR-2, SER-1, GGR-1, GLR-1
VC02
VA07
URADL
SDQL
RMDVR
RIFL
DD01
CEPVL, DOP-2
ASJR, OSM-9, SRE-1, DAF-11
AS03
AIBL, GLR-5, GLR-1, GLR-2, GGR-1
VC01
VA06
SMDVR
SABVR
RMDVL
RID
CEPDR, DOP-2
AVHR, SER-2, GLR-4, GGR-1
ASJL, DAF-11, OSM-9, SRE-1
AS02
AIAR, SCD-2, NPR-11, SRA-11, GLC-3, MGL-1, NPR-5, GCY-28, GLR-2
VA05
SMDVL
SABVL
RMDR
RICR, OCR-4
PVM, MEC-2, MEC-10, MEC-9, UNC-8, MEC-6, SER-1, MEC-4
CEPDL, DOP-2
AVHL, GLR-4, SER-2, GGR-1
ASIR, SRD-1, STR-3, DAF-11, STR-2
AS01
AIAL, NPR-11, NPR-5, GLC-3, SCD-2, MGL-1, GCY-28, SRA-11, GLR-2
VA04
SMDDR
SABD
RMDL
RICL, OCR-4
PVDR, OSM-9, DES-2, MEC-6, GLR-4, MEC-9, SER-2, MEC-10, DEG-3
DB05
BDUR, SER-2, GLR-8
ASIL, STR-3, DAF-11, STR-2, SRD-1
AQR, GCY-35, GCY-32, NPR-1
AFDR, GCY-18, GCY-23, GCY-29, GCY-8
VA03
SMDDL
SAAVR
RMDDR
RIBR
PVDL, DES-2, DEG-3, MEC-10, GLR-4, OSM-9, MEC-9, MEC-6, SER-2
OLQVR, SER-1, NPR-1, OSM-9
IL2VR, DES-2, NPR-1
DB04
BDUL, SER-2, GLR-8
ASHR, OCR-2, NPR-1, OSM-9, UNC-8, SRA-6, SRB-6
ALNR, SER-2
AFDL, GCY-8, GCY-18, GCY-23, GCY-29
VA02
SMBVR
SAAVL
RMDDL
RIBL
OLQVL, NPR-1, OSM-9, SER-1
IL2VL, NPR-1, DES-2
DB03
BAGR, GCY-33
ASHL, NPR-1, OCR-2, SRB-6, UNC-8, OSM-9, SRA-6
ALNL, SER-2
ADLR, SRE-1, OCR-1, SRO-1, OSM-9, SRH-220, SRI-51, SRH-132, GCY-21, OCR-2, SRB-6
VB07
VA01
SMBVL
SAADR
RIVR
RIAR, OCR-4
OLQDR, SER-1, NPR-1, OSM-9
IL2R, NPR-1, DES-2
HSNR, GLR-5, GGR-2, GAR-2, MEC-6
DB02
BAGL, GCY-33
AVER, GLR-2, GLR-1, NMR-2, GLR-5, NMR-1
ASGR
ALMR
ADLL, OSM-9, SRB-6, GCY-21, OCR-2, SRI-51, OCR-1, SRH-220, SRE-1, SRO-1, SRH-132
VD07
VB06
URYVR
SMBDR
SAADL
RIVL
RIAL, OCR-4
OLQDL, SER-1, OSM-9, NPR-1
IL2L, NPR-1, DES-2
HSNL, GLR-5, MEC-6, GGR-2, GAR-2
DB01
AWCR, STR-2, DAF-11, OSM-9
AVEL, NMR-1, NMR-2, GLR-5, GLR-1, GLR-2
ASGL, NPR-1, OSM-9
ALML
ADFR, NPR-5, OSM-9, SRB-6, MGL-3, OCR-2, SRD-1
VD06
VB05
URYVL
SMBDL
RMHR
RIS, SER-4, DOP-1, GLR-1
OLLR, SER-2
IL2DR, DES-2, NPR-1
FLPR, OSM-9, DEG-3, DEL-1, UNC-8, MEC-10, GLR-4, DES-2
AWCL, OSM-9, STR-2, DAF-11
ASER, OSM-9, GCY-6, NPR-1, GCY-7, GCY-5
ALA, SRA-10, ACR-14, SER-1
ADFL, SRB-6, SRD-1, OCR-2, OSM-9, NPR-5, MGL-3
VD05
VB04
URYDR
SIBVR
RMHL
RIR
OLLL, SER-2
IL2DL, NPR-1, DES-2
FLPL, DEL-1, UNC-8, MEC-10, OSM-9, DEG-3, DES-2, GLR-4
AWBR, DAF-11, AEX-2, STR-1
ASEL, GCY-6, NPR-1, GCY-7, OSM-9
AIZR, SER-2
ADER, EXP-1, DOP-2, TYRA-3, ACR-16
VD04
VB03
URYDL
SIBVL
RMGR
RIPR
IL1VR, DEG-3, MEC-6
DVC
AWBL, STR-1, AEX-2, DAF-11
AIZL, SER-2
ADEL, TYRA-3, ACR-16, DOP-2, EXP-1
VD03
VB02
URXR, GCY-36, GCY-37, GCY-35, NPR-1, GCY-25, GCY-1, SRA-10, GCY-32, GCY-34
SIBDR
RMGL
RIPL
PVT, SER-4, ACR-13, SER-2
IL1VL, DEG-3, MEC-6
DA06
AWAR, OCR-1, ODR-10, OCR-2, OSM-9
AIYR, NPR-14, MOD-1, MGL-1, SER-2, GLC-3, GCY-1, ACR-14, LGC-38, GAR-2, CKR-2, C50F7.1, NPR-11, SRA-11
ADAR
